Genus,Species,Common Name 1,Common Name 2,Family,Clade,Size,Canopy,Global_ Distribution,Locality,Abundance,Climatic_Domain,Climatic _Zone,General_Description,Images_Folder
Pittosporum,eugenioides,tarata,lemonwood,Pittosporaceae,Angiosperm,,,,,,,,,Pittosporum eugenioides
Pittosporum,rubiginosum,hairy red pittosporum,,Pittosporaceae,Angiosperm,,,,,,,,,Pittosporum rubiginosum
Pittosporum,undulatum,sweet pittosporum,mock orange,Pittosporaceae,Angiosperm,,,,,,,,,Pittosporum undulatum
Plagianthus,regius,ribbonwood,manatu,Malvaceae,Angiosperm,,,,,,,,,Plagianthus regius
Planchonella,australis,black apple,wild plum,Sapotaceae,Angiosperm,,,,,,,,,Planchonella australis
Planchonella,costata,tawapou,bastard ironwood,Sapotaceae,Angiosperm,,,,,,,,,Planchonella costata
Planchonella,laurifolia,blush coondoo,tormenta,Sapotaceae,Angiosperm,,,,,,,,,Planchonella laurifolia
Platanus,acerifolia,London plane,,Platanaceae,Angiosperm,,,,,,,,,Platanus acerifolia
Pleiogynium,timorense,Burdekin plum,sweet plum,Anacardiaceae,Angiosperm,,,,,,,,,Pleiogynium timorense
Plinia,cauliflora,jabuticaba,Braziillian grapetree,Myrtaceae,Angiosperm,,,,,,,,,Plinia cauliflora
Podocarpus,elatus,plum pine,brown pine,Podocarpaceae,Gymnosperm,,,,,,,,,Podocarpus elatus
Podocarpus,falcatus,,,Podocarpaceae,Gymnosperm,,,,,,,,,Podocarpus falcatus
Podocarpus,latifolius,yellow wood,,Podocarpaceae,Gymnosperm,,,,,,,,,Podocarpus latifolius
Podocarpus,macrophyllus,Japanes maki,Japanese yew pine,Podocarpaceae,Gymnosperm,,,,,,,,,Podocarpus macrophyllus
Podocarpus,totara,totara,,Podocarpaceae,Gymnosperm,,,,,,,,,Podocarpus totara
Poliothyrsis,sinensis,Chinese pearlbloom,,Salicaceae,Angiosperm,,,,,,,,,Poliothyrsis sinensis
Pomaderris,aspera,hazel pomaderris,,Rhamnaceae,Angiosperm,,,,,,,,,Pomaderris aspera
Pomaderris,vacciniifolia,round-leaf pomaderris,,Rhamnaceae,Angiosperm,,,,,,,,,Pomaderris vacciniifolia
Pomaderris,walshii,Carrington Falls pomaderris,,Rhamnaceae,Angiosperm,,,,,,,,,Pomaderris walshii
Populus,alba,silver poplar,white poplar,Salicaceae,Angiosperm,,,,,,,,,Populus alba
Populus,deltoides,eastern cottonwood,necklace poplar,Salicaceae,Angiosperm,,,,,,,,,Populus deltoides
Populus,nigra,black poplar,Lombardy poplar,Salicaceae,Angiosperm,,,,,,,,,Populus nigra
Populus,tremuloides,quaking aspen,trembling aspen,Salicaceae,Angiosperm,,,,,,,,,Populus tremuloides
Populus,trichocarpa,black cottonwood,western balsam-poplar,Salicaceae,Angiosperm,,,,,,,,,Populus trichocarpa
Populus,x canadensis,Canadian poplar,Carolina poplar,Salicaceae,Angiosperm,,,,,,,,,Populus x canadensis
Posoqueria ,latifolia,needle flower,,Rubiaceae,Angiosperm,,,,,,,,,Posoqueria  latifolia
Prosopis,velutina,velvet mesquite,,Fabaceae,Angiosperm,,,,,,,,,Prosopis velutina
Prosopis ,laevigata,smooth mesquits,,Fabaceae,Angiosperm,,,,,,,,,Prosopis  laevigata
Prumnopitys,ladei,Mount Spurgeon black pine,,Podocarpaceae,Gymnosperm,,,,,,,,,Prumnopitys ladei
Prumnopitys,ferruginia,miro,,Podocarpaceae,Gymnosperm,,,,,,,,,Prumnopitys ferruginia
Prumnopitys,taxifolia,matai,,Podocarpaceae,Gymnosperm,,,,,,,,,Prumnopitys taxifolia
Prunus,laurocerasus,English laurel,cherry laurel,Rosaceae,Angiosperm,,,,,,,,,Prunus laurocerasus
Prunus,padus,bird cherry,blacj dogwood,Rosaceae,Angiosperm,,,,,,,,,Prunus padus
Prunus,serrulata,Japanese cherry,,Rosaceae,Angiosperm,,,,,,,,,Prunus serrulata
Prunus,subhirtella,higan cherry,spring cherry,Rosaceae,Angiosperm,,,,,,,,,Prunus subhirtella
Prunus,x yedoensis,Yoschino cherry tree,,Rosaceae,Angiosperm,,,,,,,,,Prunus x yedoensis
Pseudolarix,amabilis,golden larch,,Pinaceae,Gymnosperm,,,,,,,,,Pseudolarix amabilis
Pseudopanax,arboreus,five finger,,Araliaceae,Angiosperm,,,,,,,,,Pseudopanax arboreus
Pseudopanax,crassifolius,lancewood,,Araliaceae,Angiosperm,,,,,,,,,Pseudopanax crassifolius
Pseudopanax,ferox,toothed lancewood,horoeka,Araliaceae,Angiosperm,,,,,,,,,Pseudopanax ferox
Pseudotsuga,macrocarpa,bigcone spruce,bigcone Douglas fir,Pinaceae,Gymnosperm,,,,,,,,,Pseudotsuga macrocarpa
Pseudotsuga,menzeisii,Douglas fir,,Pinaceae,Gymnosperm,,,,,,,,,Pseudotsuga menzeisii
Pseudoweinmannia,lachnocarpa,rose marara,mararie,Cunoniaceae,Angiosperm,,,,,,,,,Pseudoweinmannia lachnocarpa
Pseudowintera,colorata,horopito,pepper tree,Winteraceae,Angiosperm,,,,,,,,,Pseudowintera colorata
Ptelea,trifoliata,wafer ash,hop tree,Rutaceae,Angiosperm,,,,,,,,,Ptelea trifoliata
Pterocarya,fraxinifolia,Caucasian wing nut,,Juglandaceae,Angiosperm,,,,,,,,,Pterocarya fraxinifolia
Pterocarya,rhoifolia,Japanese wing nut,,Juglandaceae,Angiosperm,,,,,,,,,Pterocarya rhoifolia
Pterocarya,stenoptera,Chinese wing nut,,Juglandaceae,Angiosperm,,,,,,,,,Pterocarya stenoptera
Pterocarya,x rehderiana,,,Juglandaceae,Angiosperm,,,,,,,,,Pterocarya x rehderiana
Pterophylla,racemosa,kamahi,,Cunoniaceae,Angiosperm,,,,,,,,,Pterophylla racemosa
Pyrus,balansae,pear,,Rosaceae,Angiosperm,,,,,,,,,Pyrus balansae
Pyrus,bretschneideri,ya pear,Chinese white pear,Rosaceae,Angiosperm,,,,,,,,,Pyrus bretschneideri
